severity,familyId,chassisId,prefabName,shipLevel,wings,engines,thrusters,propulsion,weapons,moveSpeed,dps,energyCap,energyRegen,gemCap,peopleCap,flags,fixClass
8.343,NightAye,NightAye_11,NightAye4,6,4,0,0,0,1,6.75,1251.232,144,4.5,317.472,34.922,propulsion_starvation|wing_balloon|energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
8.209,GalaxyRaptor,GalaxyRaptor_05,GalaxyRaptor18,5,2,1,0,1,1,6.468,201.6,67.647,6.037,542.978,59.728,cargo_freak_people|cargo_freak_gems|energy_insolvency|overgunned,needs_wing_stat_nerf|needs_extra_engine_or_thruster_stats
8.039,SpaceExcalibur,SpaceExcalibur_15,SpaceExcalibur7,6,4,0,3,3,2,7.875,1790.482,138.029,4.21,518.942,57.084,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
7.8,AstroEagle,AstroEagle_08,AstroEagle_Slicer,2,1,2,1,3,1,12.573,69.3,25.436,1.973,156.727,17.24,cargo_freak_people|cargo_freak_gems|energy_insolvency|overgunned,needs_wing_stat_nerf|needs_extra_engine_or_thruster_stats
7.784,GalaxyRaptor,GalaxyRaptor_14,GalaxyRaptor16,4,2,1,0,1,1,9.555,190.439,71.176,8.532,456.948,50.264,cargo_freak_people|cargo_freak_gems|energy_insolvency|overgunned,needs_wing_stat_nerf|needs_extra_engine_or_thruster_stats
7.547,GalaxyRaptor,GalaxyRaptor_04,GalaxyRaptor04,5,4,1,0,1,1,5.88,50.4,39.263,4.922,672.308,73.954,propulsion_starvation|cargo_freak_people|cargo_freak_gems|hippo_class_structure,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
7.313,LightFox,LightFox_18,LightFox2,6,4,3,0,3,1,11.175,223.541,65.793,4.128,1351.351,148.649,cargo_freak_people|cargo_freak_gems,needs_wing_stat_nerf
7.272,NightAye,NightAye_08,NightAye5,5,3,1,0,1,1,5.88,305.175,84,5.88,288.223,31.705,propulsion_starvation|energy_insolvency|overgunned|hippo_class_structure,needs_extra_engine_or_thruster_stats|structural_prefab
7.108,SpaceExcalibur,SpaceExcalibur_19,SpaceExcalibur4,5,6,0,2,2,1,9.996,50.4,39.449,4.987,709.649,78.061,propulsion_starvation|cargo_freak_people|cargo_freak_gems,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf
7.071,GalaxyRaptor,GalaxyRaptor_09,GalaxyRaptor19,4,2,1,0,1,1,8.281,187.2,62.01,5.324,407.618,44.838,cargo_freak_people|cargo_freak_gems|energy_insolvency|overgunned,needs_wing_stat_nerf|needs_extra_engine_or_thruster_stats
7.024,LightFox,LightFox_19,LightFox4,6,4,3,0,3,1,7.95,54,38.45,4.007,1309.5,144.045,cargo_freak_people|cargo_freak_gems,needs_wing_stat_nerf
6.735,GalaxyRaptor,GalaxyRaptor_10,GalaxyRaptor12,5,4,1,0,1,1,7.644,50.4,39.442,4.985,603.998,66.44,propulsion_starvation|cargo_freak_people|cargo_freak_gems|hippo_class_structure,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
6.709,NightAye,NightAye_20,NightAye7,6,4,1,0,1,1,5.775,1168.368,168.3,8.505,351.867,38.705,propulsion_starvation|energy_insolvency|overgunned|hippo_class_structure,needs_extra_engine_or_thruster_stats|structural_prefab
6.661,NightAye,NightAye_15,NightAye17,4,3,1,0,1,1,6.37,254.8,78,5.46,185.019,20.352,propulsion_starvation|energy_insolvency|overgunned|hippo_class_structure,needs_extra_engine_or_thruster_stats|structural_prefab
6.569,LightFox,LightFox_01,LightFox12,1,2,2,0,2,0,9.9,9,7.562,2.647,153.408,16.875,cargo_freak_people|cargo_freak_gems|weaponless,needs_wing_stat_nerf|structural_prefab
6.553,GalaxyRaptor,GalaxyRaptor_11,GalaxyRaptor05,6,4,1,0,1,1,6.3,121.5,65.888,8.886,1016.145,111.776,propulsion_starvation|cargo_freak_people|cargo_freak_gems|hippo_class_structure,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
6.502,GalaxyRaptor,GalaxyRaptor_02,GalaxyRaptor17,3,3,1,0,1,1,7.392,97.984,43.147,3.762,319.895,35.188,propulsion_starvation|cargo_freak_people|cargo_freak_gems|energy_insolvency|hippo_class_structure,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
6.31,GalaxyRaptor,GalaxyRaptor_12,GalaxyRaptor08,5,4,1,0,1,1,7.644,50.4,38.58,4.683,568.31,62.514,propulsion_starvation|cargo_freak_people|cargo_freak_gems|hippo_class_structure,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
6.287,SpaceExcalibur,SpaceExcalibur_18,SpaceExcalibur1,6,8,0,3,3,2,7.875,810,114.75,5.513,603.926,66.432,propulsion_starvation|cargo_freak_people|cargo_freak_gems|energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf
6.126,GalaxyRaptor,GalaxyRaptor_03,GalaxyRaptor20,3,2,1,0,1,1,7.392,172.8,57.034,4.842,222.707,24.498,cargo_freak_people|cargo_freak_gems|energy_insolvency|overgunned,needs_wing_stat_nerf|needs_extra_engine_or_thruster_stats
6.121,NightAye,NightAye_03,NightAye13,2,3,0,0,0,1,8.91,52.8,26.4,3.3,154.346,16.978,propulsion_starvation|energy_insolvency|overgunned|hippo_class_structure,needs_extra_engine_or_thruster_stats|structural_prefab
6.042,GalaxyRaptor,GalaxyRaptor_06,GalaxyRaptor11,1,1,1,0,1,1,8.4,36,28.817,3.786,81.594,8.975,cargo_freak_people|cargo_freak_gems|energy_insolvency|overgunned,needs_wing_stat_nerf|needs_extra_engine_or_thruster_stats
6.024,LightFox,LightFox_16,LightFox3,6,4,3,0,3,1,11.175,216,72.556,6.495,1164.401,128.084,cargo_freak_people|cargo_freak_gems,needs_wing_stat_nerf
5.839,AstroEagle,AstroEagle_20,AstroEagle_Bee,5,3,2,1,3,1,14.532,204.414,61.39,3.846,339.079,37.299,cargo_freak_people|cargo_freak_gems|energy_insolvency|overgunned,needs_wing_stat_nerf|needs_extra_engine_or_thruster_stats
5.764,LightFox,LightFox_10,LightFox18,5,3,3,0,3,0,10.668,12.6,9.808,3.433,610.681,67.175,cargo_freak_people|cargo_freak_gems|weaponless,needs_wing_stat_nerf|structural_prefab
5.685,GalaxyRaptor,GalaxyRaptor_08,GalaxyRaptor07,3,3,1,0,1,1,8.064,43.2,35.217,4.766,316.525,34.818,propulsion_starvation|cargo_freak_people|cargo_freak_gems|hippo_class_structure,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
5.63,LightFox,LightFox_15,LightFox5,6,4,3,0,3,1,7.95,54,34.775,2.721,1107.243,121.797,cargo_freak_people|cargo_freak_gems,needs_wing_stat_nerf
5.242,LightFox,LightFox_14,LightFox6,6,4,3,0,3,1,10.575,54,35.275,2.896,1050.871,115.596,cargo_freak_people|cargo_freak_gems,needs_wing_stat_nerf
4.75,ProtonLegacy,ProtonLegacy_07,ProtonLegacy12,5,2,0,0,0,1,7.56,201.6,50.4,4.2,72.8,8.008,propulsion_starvation|energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
4.75,ForceBadger,ForceBadger_07,ForceBadger16,5,0,0,0,0,1,7.56,201.6,50.4,4.2,28,3.08,propulsion_starvation|energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
4.75,ProtonLegacy,ProtonLegacy_11,ProtonLegacy15,5,2,0,0,0,1,7.56,201.6,50.4,4.2,84,9.24,propulsion_starvation|energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
4.695,LightFox,LightFox_03,LightFox17,2,4,2,0,2,0,9.801,9.9,2.725,0.954,210.705,23.178,cargo_freak_people|cargo_freak_gems|energy_insolvency|weaponless,needs_wing_stat_nerf|needs_extra_engine_or_thruster_stats|structural_prefab
4.656,NightAye,NightAye_02,NightAye8,5,3,0,0,0,1,7.56,156.525,50.4,4.2,295.092,32.46,propulsion_starvation|energy_insolvency|overgunned|hippo_class_structure,needs_extra_engine_or_thruster_stats|structural_prefab
4.583,NightAye,NightAye_16,NightAye19,5,3,0,0,0,1,7.56,152.88,50.4,4.2,278.174,30.599,propulsion_starvation|energy_insolvency|overgunned|hippo_class_structure,needs_extra_engine_or_thruster_stats|structural_prefab
4.491,GalaxyRaptor,GalaxyRaptor_20,GalaxyRaptor03,4,3,1,0,1,1,8.918,46.8,45.173,7.621,384.882,42.337,propulsion_starvation|cargo_freak_people|cargo_freak_gems|hippo_class_structure,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
4.45,LightFox,LightFox_09,LightFox10,4,3,3,0,3,1,10.283,46.8,33.328,3.475,494.084,54.349,cargo_freak_people|cargo_freak_gems,needs_wing_stat_nerf
4.387,SpaceExcalibur,SpaceExcalibur_17,SpaceExcalibur14,5,4,0,3,3,1,11.172,50.4,42.298,5.984,536.933,59.063,cargo_freak_people|cargo_freak_gems,needs_wing_stat_nerf
4.38,GalaxyRaptor,GalaxyRaptor_17,GalaxyRaptor10,6,3,1,0,1,1,6.3,216,70.681,5.838,712.933,78.423,propulsion_starvation|cargo_freak_people|cargo_freak_gems|hippo_class_structure,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
4.179,ProtonLegacy,ProtonLegacy_04,ProtonLegacy17,2,0,0,0,0,1,8.91,39.6,19.8,3.3,22,2.42,propulsion_starvation|energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
4.134,GalaxyRaptor,GalaxyRaptor_19,GalaxyRaptor09,6,3,1,0,1,1,8.4,122.509,61.262,7.267,677.326,74.506,propulsion_starvation|cargo_freak_people|cargo_freak_gems|hippo_class_structure,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
4.031,NightAye,NightAye_14,NightAye2,5,4,1,0,1,1,5.88,16.8,31.08,4.998,376.738,41.441,propulsion_starvation|cargo_freak_people|cargo_freak_gems|hippo_class_structure,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
4.004,AstroEagle,AstroEagle_07,AstroEagle_Starship,4,1,1,1,2,1,10.283,199.094,54.029,2.53,152.598,16.786,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
3.918,AstroEagle,AstroEagle_13,AstroEagle_Hippo,6,1,1,1,2,1,7.275,216,61.583,2.654,750,82.5,cargo_freak_people|cargo_freak_gems|energy_insolvency,needs_wing_stat_nerf|needs_extra_engine_or_thruster_stats
3.75,SpaceExcalibur,SpaceExcalibur_03,SpaceExcalibur20,1,0,0,1,1,1,10.5,36,26.598,3.009,20,2.2,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
3.75,AstroEagle,AstroEagle_11,AstroEagle_Squid,4,2,1,1,2,1,8.827,187.2,53.381,2.303,207.858,22.864,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
3.75,CosmicShark,CosmicShark_09,CosmicShark_Sprinter,5,2,2,1,3,1,9.912,201.6,56.62,2.177,162.757,17.903,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
3.75,ForceBadger,ForceBadger_16,ForceBadger9,5,1,1,1,2,1,8.232,201.6,70.964,7.197,69.076,7.598,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
3.75,ProtonLegacy,ProtonLegacy_12,ProtonLegacy14,5,2,1,0,1,1,6.468,201.6,62.607,4.272,74.586,8.204,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
3.75,ForceBadger,ForceBadger_03,ForceBadger17,1,0,1,1,2,1,8.4,36,35.984,6.294,18.903,2.079,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
3.75,ProtonLegacy,ProtonLegacy_17,ProtonLegacy20,5,2,1,0,1,1,6.468,201.6,67.032,5.821,80.872,8.896,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
3.75,AstroEagle,AstroEagle_04,AstroEagle_Whale,4,1,1,1,2,1,8.827,187.2,58.12,3.962,260,28.6,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
3.75,AstroEagle,AstroEagle_12,AstroEagle_Eagle,5,2,1,1,2,1,9.492,201.6,58.554,2.854,199.24,21.916,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
3.698,GalaxyRaptor,GalaxyRaptor_16,GalaxyRaptor06,6,3,1,0,1,1,5.775,486,102.396,7.488,614.024,67.543,propulsion_starvation|cargo_freak_people|cargo_freak_gems|hippo_class_structure,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
3.65,NightAye,NightAye_18,NightAye20,5,3,1,0,1,1,5.88,67.2,50.4,5.88,351.727,38.69,propulsion_starvation|cargo_freak_people|cargo_freak_gems|hippo_class_structure,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
3.561,NightAye,NightAye_17,NightAye3,6,4,1,0,1,1,5.25,72,54,6.3,582.02,64.022,propulsion_starvation|cargo_freak_people|cargo_freak_gems|hippo_class_structure,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
3.258,CosmicShark,CosmicShark_15,CosmicShark_Pony,1,2,1,1,2,0,15.9,9,6.581,2.303,90.457,9.95,cargo_freak_people|cargo_freak_gems|weaponless,needs_wing_stat_nerf|structural_prefab
3.208,LightFox,LightFox_05,LightFox11,3,2,1,0,1,1,7.392,43.2,26.798,1.819,226.92,24.961,cargo_freak_people|cargo_freak_gems|energy_insolvency,needs_wing_stat_nerf|needs_extra_engine_or_thruster_stats
3.192,SpaceExcalibur,SpaceExcalibur_11,SpaceExcalibur2,4,4,0,3,3,1,8.281,46.8,35.23,4.141,397.735,43.751,cargo_freak_people|cargo_freak_gems,needs_wing_stat_nerf
3.179,ForceBadger,ForceBadger_09,ForceBadger2,2,0,1,1,2,1,9.702,39.6,32.67,4.505,20.793,2.287,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
3.179,GalaxyRaptor,GalaxyRaptor_01,GalaxyRaptor15,2,2,1,0,1,1,7.623,39.6,31.111,3.959,136.103,14.971,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
3.179,SpaceExcalibur,SpaceExcalibur_10,SpaceExcalibur11,2,2,0,1,1,1,7.623,39.6,26.83,2.461,121.676,13.384,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
3.179,SpaceExcalibur,SpaceExcalibur_12,SpaceExcalibur15,2,3,0,2,2,1,11.088,39.6,29.953,3.554,109.12,12.003,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
3.179,CosmicShark,CosmicShark_06,CosmicShark_CEO,2,2,2,1,3,1,11.682,39.6,26.021,2.177,76.172,8.379,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
3.179,CosmicShark,CosmicShark_08,CosmicShark_October,2,1,1,0,1,1,9.009,39.6,23.081,1.148,62.009,6.821,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
3.179,GalaxyRaptor,GalaxyRaptor_15,GalaxyRaptor14,2,0,1,0,1,1,10.395,39.6,33.465,4.783,22,2.42,energy_insolvency|overgunned,needs_extra_engine_or_thruster_stats
3.107,GalaxyRaptor,GalaxyRaptor_13,GalaxyRaptor13,6,2,1,0,1,1,7.35,219.952,71.393,6.088,741.018,81.512,cargo_freak_people|cargo_freak_gems,needs_wing_stat_nerf
3.078,AstroEagle,AstroEagle_14,AstroEagle_DoubleBarrel,5,1,1,1,2,1,9.492,50.4,33.776,3.002,363.847,40.023,cargo_freak_people|cargo_freak_gems|energy_insolvency,needs_wing_stat_nerf|needs_extra_engine_or_thruster_stats
3.004,LightFox,LightFox_08,LightFox14,4,4,3,0,3,1,10.283,46.8,34.887,4.02,383.358,42.169,cargo_freak_people|cargo_freak_gems,needs_wing_stat_nerf
2.942,AstroEagle,AstroEagle_10,AstroEagle_Turkey,5,2,1,1,2,1,9.492,50.4,32.996,2.729,352.411,38.765,cargo_freak_people|cargo_freak_gems|energy_insolvency,needs_wing_stat_nerf|needs_extra_engine_or_thruster_stats
2.824,LightFox,LightFox_07,LightFox16,4,2,3,0,3,1,10.92,46.8,30.171,2.37,312.087,34.33,cargo_freak_people|cargo_freak_gems|energy_insolvency,needs_wing_stat_nerf|needs_extra_engine_or_thruster_stats
2.8,NightAye,NightAye_12,NightAye9,6,4,0,0,0,1,6.75,18,18,4.5,480,52.8,propulsion_starvation|wing_balloon,needs_extra_engine_or_thruster_stats|needs_wing_stat_nerf|structural_prefab
2.656,LightFox,LightFox_02,LightFox13,3,1,1,0,1,0,6.72,10.8,10.805,3.782,211.543,23.27,cargo_freak_people|cargo_freak_gems|weaponless,needs_wing_stat_nerf|structural_prefab
2.55,NightAye,NightAye_13,NightAye11,3,3,0,0,0,1,8.64,57.6,28.8,3.6,189.748,20.872,propulsion_starvation|energy_insolvency|hippo_class_structure,needs_extra_engine_or_thruster_stats|structural_prefab
2.378,LightFox,LightFox_20,LightFox1,3,3,3,0,3,1,10.176,10.8,17.955,2.504,222.81,24.509,cargo_freak_people|cargo_freak_gems,needs_wing_stat_nerf
2.208,AstroEagle,AstroEagle_01,AstroEagle_Hawk,1,1,1,1,2,1,12.9,9,15.075,2.126,80,8.8,cargo_freak_people|cargo_freak_gems,needs_wing_stat_nerf
1.75,NightAye,NightAye_07,NightAye18,3,2,0,0,0,1,8.64,57.6,28.8,3.6,178.681,19.655,propulsion_starvation|energy_insolvency,needs_extra_engine_or_thruster_stats
1.55,NightAye,NightAye_19,NightAye1,6,4,1,0,1,1,5.775,288,91.8,6.93,420.186,46.22,propulsion_starvation|hippo_class_structure,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_09,StarForce7,3,0,0,0,0,0,8.64,10.8,21.6,3.6,9.6,2.4,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_10,StarForce4,3,0,0,0,0,0,8.64,10.8,21.6,3.6,9.6,2.4,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_03,StarForce6,3,0,0,0,0,0,8.64,10.8,21.6,3.6,9.6,2.4,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_12,StarForce16,4,0,0,0,0,0,8.19,11.7,23.4,3.9,10.4,2.6,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_14,StarForce13,2,0,0,0,0,0,8.91,9.9,19.8,3.3,8.8,2.2,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_17,StarForce8,4,0,0,0,0,0,8.19,11.7,23.4,3.9,10.4,2.6,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_04,StarForce15,5,0,0,0,0,0,7.56,12.6,25.2,4.2,11.2,2.8,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_06,StarForce10,2,0,0,0,0,0,8.91,9.9,19.8,3.3,8.8,2.2,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_07,StarForce19,5,0,0,0,0,0,7.56,12.6,25.2,4.2,11.2,2.8,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_13,StarForce3,5,0,0,0,0,0,7.56,12.6,25.2,4.2,11.2,2.8,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_15,StarForce9,5,0,0,0,0,0,7.56,12.6,25.2,4.2,11.2,2.8,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_19,StarForce2,5,0,0,0,0,0,7.56,12.6,25.2,4.2,11.2,2.8,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_05,StarForce11,6,0,0,0,0,0,6.75,13.5,27,4.5,12,3,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_11,StarForce12,6,0,0,0,0,0,6.75,13.5,27,4.5,12,3,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_18,StarForce14,6,0,0,0,0,0,6.75,13.5,27,4.5,12,3,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_02,StarForce18,1,0,0,0,0,0,9,9,18,3,8,2,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_01,StarForce17,4,0,0,0,0,0,8.19,11.7,23.4,3.9,10.4,2.6,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.5,StarForce,StarForce_08,StarForce20,4,0,0,0,0,0,8.19,11.7,23.4,3.9,10.4,2.6,propulsion_starvation|weaponless,needs_extra_engine_or_thruster_stats|structural_prefab
1.467,LightFox,LightFox_06,LightFox20,4,3,1,0,1,1,7.007,11.7,15.876,1.462,289.163,31.808,propulsion_starvation|hippo_class_structure,needs_extra_engine_or_thruster_stats|structural_prefab
1.467,NightAye,NightAye_09,NightAye10,3,3,1,0,1,1,6.72,57.6,49.887,7.381,172.8,19.008,propulsion_starvation|hippo_class_structure,needs_extra_engine_or_thruster_stats|structural_prefab
1.467,NightAye,NightAye_06,NightAye15,2,3,1,0,1,1,6.93,13.2,26.4,4.62,144.297,15.873,propulsion_starvation|hippo_class_structure,needs_extra_engine_or_thruster_stats|structural_prefab
1.467,NightAye,NightAye_05,NightAye16,4,3,1,0,1,1,6.37,62.4,42.688,4.021,243.599,26.796,propulsion_starvation|hippo_class_structure,needs_extra_engine_or_thruster_stats|structural_prefab
1,NightAye,NightAye_04,NightAye6,4,2,0,0,0,1,8.19,62.4,31.2,3.9,253.708,27.908,propulsion_starvation,needs_extra_engine_or_thruster_stats
1,MeteorMantis,MeteorMantis_16,MeteorMantis18,6,1,0,0,0,1,6.75,216,54,4.5,244.592,26.905,propulsion_starvation,needs_extra_engine_or_thruster_stats
1,ProtonLegacy,ProtonLegacy_13,ProtonLegacy19,6,2,0,0,0,1,6.75,216,54,4.5,114.934,12.643,propulsion_starvation,needs_extra_engine_or_thruster_stats
1,ProtonLegacy,ProtonLegacy_05,ProtonLegacy11,3,2,0,0,0,1,8.64,10.8,10.8,3.6,43.2,4.752,propulsion_starvation,needs_extra_engine_or_thruster_stats
1,ProtonLegacy,ProtonLegacy_08,ProtonLegacy3,4,2,0,0,0,1,8.19,46.8,23.4,3.9,95.523,10.508,propulsion_starvation,needs_extra_engine_or_thruster_stats
1,ProtonLegacy,ProtonLegacy_09,ProtonLegacy18,4,2,0,0,0,1,8.19,46.8,23.4,3.9,78,8.58,propulsion_starvation,needs_extra_engine_or_thruster_stats
0.75,CosmicShark,CosmicShark_02,CosmicShark_Sly,5,2,1,0,1,1,5.88,50.4,30.713,1.929,220.852,24.294,energy_insolvency,needs_extra_engine_or_thruster_stats
