"Family","CanonicalComponentId","AliasCount","Aliases"
"GalaxyRaptor","Wing4","1","Wing4"
"GalaxyRaptor","WingHolder","1","WingHolder"
"HyperFalcon","Cockpit","1","Cockpit"
"HyperFalcon","Core","1","Core"
"HyperFalcon","Engine","1","Engine"
"HyperFalcon","Exhaust","1","Exhaust"
"HyperFalcon","Support","1","Support"
"HyperFalcon","Thruster","1","Thruster"
"HyperFalcon","Tracks","1","Tracks"
"HyperFalcon","Vents","1","Vents"
"HyperFalcon","Wing_1","1","Wing_1"
"HyperFalcon","Wing_2","1","Wing_2"
"LightFox","Body","2","Body|Body (1)"
"LightFox","Cockpit","1","Cockpit"
"LightFox","CockpitCover","2","CockpitCover|CockpitCover (1)"
"LightFox","Engine1","2","Engine1|Engine1 (1)"
"LightFox","Engine2","6","Engine2|Engine2 (1)|Engine2 (2)|Engine2_Mirrored|Engine2_Mirrored (1)|Engine2_Mirrored (2)"
"LightFox","Weapon","2","Weapon|Weapon (1)"
"LightFox","Wing_1","2","Wing_1|Wing_1 (1)"
"LightFox","Wing_2","2","Wing_2|Wing_2 (1)"
"LightFox","Wing_3","3","Wing_3|Wing_3 (1)|Wing_3 (2)"
"LightFox","Wing_4","9","Wing_4|Wing_4 (1)|Wing_4 (2)|Wing_4 (3)|Wing_4 (4)|Wing_4 (5)|Wing_4 (6)|Wing_4 (7)|Wing_4 (8)"
"MeteorMantis","Arm","1","Arm"
"MeteorMantis","Body","1","Body"
"MeteorMantis","Cockpit","1","Cockpit"
"MeteorMantis","Cockpit_Base","1","Cockpit_Base"
"MeteorMantis","Engine","1","Engine"
"MeteorMantis","Joint","1","Joint"
"MeteorMantis","Shell","1","Shell"
"MeteorMantis","Tail","1","Tail"
"MeteorMantis","Weapon","1","Weapon"
"MeteorMantis","Wing","1","Wing"
"NightAye","Cockpit","1","Cockpit"
"NightAye","Engine","1","Engine"
"NightAye","Hood","1","Hood"
"NightAye","Hull","1","Hull"
"NightAye","Missile","1","Missile"
"NightAye","Spike","1","Spike"
"NightAye","WingMain","1","WingMain"
"NightAye","WingMini","1","WingMini"
"NightAye","WingTip","1","WingTip"
"NightAye","WingWide","1","WingWide"
"ProtonLegacy","Arm","1","Arm"
"ProtonLegacy","Cockpit","1","Cockpit"
"ProtonLegacy","Core","1","Core"
"ProtonLegacy","Engine","1","Engine"
"ProtonLegacy","Fin","1","Fin"
"ProtonLegacy","Ring","1","Ring"
"ProtonLegacy","Solar","1","Solar"
"ProtonLegacy","Weapon","1","Weapon"
"ProtonLegacy","Wing","2","Wing|Wing_Mirrored"
"SpaceExcalibur","Ammunition","1","Ammunition"
"SpaceExcalibur","Armor_01","2","Armor_01|Armor_01_Mirrored"
"SpaceExcalibur","Armor_02","2","Armor_02|Armor_02_Mirrored"
"SpaceExcalibur","Body_01","1","Body_01"
"SpaceExcalibur","Body_02","1","Body_02"
"SpaceExcalibur","Body_03","1","Body_03"
"SpaceExcalibur","Cockpit","1","Cockpit"
"SpaceExcalibur","Hatch","1","Hatch"
"SpaceExcalibur","Machinegun","1","Machinegun"
"SpaceExcalibur","Missile","1","Missile"
"SpaceExcalibur","Missile_Launcher","1","Missile_Launcher"
"SpaceExcalibur","Small_Wing","1","Small_Wing"
"SpaceExcalibur","Something","1","Something"
"SpaceExcalibur","Thruster_Place","2","Thruster_Place|Thruster_Place_Mirrored"
"SpaceExcalibur","Thrusters","1","Thrusters"
"SpaceExcalibur","Thrusters_Big","1","Thrusters_Big"
"SpaceExcalibur","Tiny_Thrusters","1","Tiny_Thrusters"
"SpaceExcalibur","Tiny_Wing","1","Tiny_Wing"
"SpaceExcalibur","Wing_01","2","Wing_01|Wing_01_Mirrored"
"SpaceExcalibur","Wing_02","2","Wing_02|Wing_02_Mirrored"
"SpaceExcalibur","Wing_03","2","Wing_03|Wing_03_Mirrored"
"StarForce","Body1","4","Body1|Body1 (1)|Body1 (2)|Body1 (3)"
"StarForce","Body2","9","Body2|Body2 (1)|Body2 (2)|Body2 (3)|Body2 (4)|Body2 (5)|Body2 (6)|Body2 (7)|Body2 (8)"
"StarForce","Cockpit","3","Cockpit|Cockpit (1)|Cockpit (2)"
"StarForce","Engine","5","Engine|Engine (1)|Engine (2)|Engine (3)|Engine (4)"
"StarForce","EngineComp1","5","EngineComp1|EngineComp1 (1)|EngineComp1 (2)|EngineComp1 (3)|EngineComp1 (4)"
"StarForce","EngineComp2","5","EngineComp2|EngineComp2 (1)|EngineComp2 (2)|EngineComp2 (3)|EngineComp2 (4)"
"StarForce","Flap","8","Flap (1)|Flap (2)|Flap (3)|Flap (4)|Flap (5)|Flap (6)|Flap (7)|Flap (8)"
"StarForce","Thruster","5","Thruster|Thruster (1)|Thruster (2)|Thruster (3)|Thruster (4)"
"StarForce","Weapon","9","Weapon|Weapon (1)|Weapon (2)|Weapon (3)|Weapon (4)|Weapon (5)|Weapon (6)|Weapon (7)|Weapon (8)"
"StarForce","Wing","9","Wing|Wing (1)|Wing (2)|Wing (3)|Wing (4)|Wing (5)|Wing (6)|Wing (7)|Wing (8)"
"StriderOx","Arm","1","Arm"
"StriderOx","Cockpit","1","Cockpit"
"StriderOx","Core","1","Core"
"StriderOx","Cover","1","Cover"
"StriderOx","Engine","1","Engine"
"StriderOx","Fin","1","Fin"
"StriderOx","Support","1","Support"
"StriderOx","Thruster","1","Thruster"
"StriderOx","Weapon","1","Weapon"
"StriderOx","Wing","1","Wing"
